36.911,14.533,1,0
36.9,14.55,1,0.0054583
36.889,14.567,1,0.010833
36.878,14.583,1,0.01625
36.867,14.6,1,0.0037521
36.855,14.617,0,0.0037521
36.843,14.633,0,0.0037521
36.83,14.65,0,0.0037521
36.817,14.667,0,0.0037521
36.805,14.683,1,0.0031523
36.792,14.7,1,0.0023532
36.779,14.717,3,0.0036575
36.766,14.733,2,0.0033318
36.752,14.75,2,0.0035341
36.738,14.767,1,0.0037714
36.724,14.783,2,0.0035943
36.709,14.8,1,0.0036552
36.694,14.817,1,0.0037169
36.678,14.833,1,0.0037611
36.662,14.85,3,0.0047888
36.645,14.867,1,0.0050292
36.629,14.883,1,0.0051913
36.612,14.9,1,0.005312
36.594,14.917,1,0.0054276
36.577,14.933,2,0.0055584
36.559,14.95,1,0.0056951
36.541,14.967,1,0.0057812
36.523,14.983,1,0.0058285
36.505,15,1,0.0058728
36.487,15.017,1,0.0059097
36.469,15.033,1,0.0059396
36.451,15.05,1,0.00594
36.431,15.067,1,0.0059648
36.411,15.083,1,0.0060117
36.39,15.1,1,0.0060671
36.371,15.117,1,0.0060878
36.352,15.133,1,0.0060916
36.333,15.15,0,0.0060916
36.315,15.167,0,0.0060916
36.298,15.183,0,0.0060916
36.281,15.2,0,0.0060916
36.265,15.217,0,0.0060916
36.25,15.233,0,0.0060916
36.236,15.25,0,0.0060916
36.222,15.267,0,0.0060916
36.209,15.283,0,0.0060916
36.196,15.3,0,0.0060916
36.184,15.317,0,0.0060916
36.172,15.333,1,0.0060668
36.16,15.35,2,0.0060314
36.148,15.367,1,0.0060019
36.136,15.383,1,0.0059831
36.126,15.4,2,0.0059798
36.116,15.417,0,0.0059798
36.106,15.433,0,0.0059798
36.096,15.45,0,0.0059798
36.085,15.467,0,0.0059798
36.074,15.483,0,0.0059798
36.064,15.5,0,0.0059798
36.056,15.517,0,0.0059798
36.048,15.533,0,0.0059798
36.04,15.55,3,0.006151
36.032,15.567,4,0.0067361
36.024,15.583,5,0.0076491
36.017,15.6,2,0.0081544
36.009,15.617,2,0.0083438
36.001,15.633,2,0.0080437
35.994,15.65,2,0.0083359
35.986,15.667,1,0.0083504
35.979,15.683,0,0.0083504
35.972,15.7,0,0.0083504
35.967,15.717,0,0.0083504
35.963,15.733,0,0.0083504
35.959,15.75,0,0.0083504
35.955,15.767,0,0.0083504
35.953,15.783,0,0.0083504
35.95,15.8,0,0.0083504
35.949,15.817,0,0.0083504
35.947,15.833,0,0.0083504
35.946,15.85,0,0.0083504
35.945,15.867,0,0.0083504
35.944,15.883,0,0.0083504
35.942,15.9,0,0.0083504
35.941,15.917,0,0.0083504
35.939,15.933,1,0.0085253
35.937,15.95,3,0.0086544
35.934,15.967,1,0.0086826
35.931,15.983,2,0.0087833
35.929,16,3,0.0087137
35.925,16.017,1,0.0087074
35.922,16.033,2,0.0086973
35.918,16.05,1,0.0086805
35.913,16.067,1,0.0086649
35.909,16.083,1,0.0086527
35.905,16.1,2,0.0086333
35.902,16.117,1,0.0086073
35.899,16.133,0,0.0086073
35.897,16.15,0,0.0086073
35.894,16.167,0,0.0086073
35.892,16.183,0,0.0086073
35.89,16.2,0,0.0086073
35.887,16.217,0,0.0086073
35.884,16.233,0,0.0086073
35.881,16.25,0,0.0086073
35.877,16.267,2,0.0086556
35.872,16.283,1,0.0086635
35.868,16.3,1,0.0086706
35.864,16.317,1,0.0086778
35.86,16.333,2,0.0086944
35.857,16.35,3,0.0090681
35.854,16.367,1,0.0090901
35.851,16.383,2,0.0093034
35.849,16.4,1,0.0097359
35.846,16.417,0,0.0097359
35.844,16.433,0,0.0097359
35.842,16.45,0,0.0097359
35.841,16.467,0,0.0097359
35.84,16.483,0,0.0097359
35.842,16.5,0,0.0097359
35.845,16.517,0,0.0097359
35.849,16.533,11,0.010024
35.854,16.55,9,0.0097136
35.859,16.567,4,0.01042
35.865,16.583,6,0.0098427
35.872,16.6,4,0.0089848
35.88,16.617,6,0.012437
35.89,16.633,13,0.0098561
35.9,16.65,2,0.01019
35.911,16.667,1,0.010607
35.922,16.683,1,0.011056
35.933,16.7,2,0.011232
35.945,16.717,5,0.012903
35.958,16.733,6,0.017559
35.969,16.75,8,0.020493
35.98,16.767,4,0.023628
35.991,16.783,1,0.027006
36,16.8,2,0.029763
36.01,16.817,11,0.028301
36.02,16.833,1,0.030326
36.03,16.85,3,0.032434
36.041,16.867,3,0.031948
36.053,16.883,2,0.031204
36.066,16.9,1,0.032748
36.079,16.917,2,0.034885
36.092,16.933,2,0.035685
36.106,16.95,1,0.037473
36.121,16.967,2,0.041913
36.136,16.983,5,0.049529
36.152,17,4,0.054142
36.167,17.017,4,0.058234
36.182,17.033,6,0.061434
36.196,17.05,2,0.072031
36.211,17.067,1,0.079419
36.225,17.083,3,0.089863
36.239,17.1,3,0.10051
